walletAddress,points to give usdb,points to give weth
0xfb2c15382671bf616c667ad4ebe3b70dfff5e554,16643.79831,0
0xe95f2ceae7dd64b742b0f8d55e289c65221340d3,16636.31296,0
0xd32f1644b7a8a4e62d19a5bd8fdd4337b155c3aa,16176.26471,0
0x0664ae0107e5ae6fa82f0b9979d17e64cb9f01b4,15720.87296,0
0x00c3244765651ec23328947b7f16e46ce496dcf3,15688.45607,0
0xfac84ed5f25a5250741a496f74b22d43042e6034,15020.87752,0
0x7b6f42b9e296b1b23da8642adf8680c2364d905f,14819.04715,0
0x6a39446a657caa206ec5d72248d12a83c45d7855,14800.09351,0
0xe47e0236880533e4ec34ee31ba2cb9c8cb10c314,14779.73871,0
0xe40d906635326010827fbd23c580f8619929cf78,14763.78094,0
0xd9233c98d84e50f07b122ee0de0a6a50f49127e0,14635.41015,0
0xef4aafe73ab0614c2c63a993f4a604bcf8696632,14408.72453,0
0xd9362419ad259f9fe7440824bc4bd61b0ce2d8b2,14231.30888,0
0x5e91d47a27ab2524dd1b30d44901693b290d373b,14101.2168,0
0x17795c5bcc5843029b42bfe1b271c4b256625f83,13935.25698,0
0x815d364fe087db38902a76a35e7799dcadc68a08,13813.13301,0
0x6a0221239fa0fd04c3cd1bc0f83fd25db1f4c4f0,13775.76301,0
0x12588008687af620fef65fe2251983ec10e05f1e,13723.06434,0
0x5da293e55d658d0de2b45d46fe61141b06d47d11,13696.05237,0
0x587a86f228dd4cfb1fe253db332443f2294ea634,13683.61266,0
0x2f6119e04d7766b6b867b62a6d54318346b47afe,13619.47457,0
0x813c2398850725d31ad455c2165ab37b050de3a5,13568.26198,50633.42107
0xb512777bac3d6374d20f1530f301f23be3715b11,13513.91647,0
0x00efce21554f333e83f07ff24e7e837f8cdf69cd,13261.09956,0
0xd935694aa8b04071daa19f85b0319a87d15ee737,13255.58872,0
0xef530dba0c0bf455838275e0040102e631901057,13120.40721,0
0xf4b40b20572d117ead7b5ca3c7eff7d3cbdc4067,13064.93068,0
0xeed80a5df942b190880e265278b9abfa76a5fa88,12823.60649,0
0x0ca31c1cf3d25f4e0179461f0d9f6dc3011b0ef3,12708.83863,0
0x4cb159948c2fbbdb8ab6198446ce383e23f3bcde,12670.09711,0
0x8c353d095d85c5cb7ec7502f53524a365f594bf3,12586.54241,0
0xa3f4c552fdc4209a0601df45755301b287a30a1f,12577.60759,0
0xaf6782baa4ddd2aa76b69defaf223babdddad480,12411.92064,0
0x477cbea5296ed5000fd9fed579e649d02f703551,12367.72029,0
