addr,gold
0xb8e4ab8127375c07ea4e7081aba3d13d185cb4f0,0.465749
0x998da6cfbd53c385954ca312bede9ebb5d186ac3,0.465459
0x7601db7dcc61580c401e7b9a48c786ed03355e03,0.464633
0x8270996bc2afbe261cb38953f1d734572c8b257e,0.463799
0xa0cbbb8a7dee62967e0121629600e29df5e6c384,0.461848
0xba43653ec61ecb96f7b8ec7fccef6e096b90900f,0.461081
0x039b2f6f338513e53be5179ae17644683067fe5f,0.460639
0x3793d299a181673182d27660ec260aef2399a167,0.460625
0x6233ce9d873509db1e8b9a2ca5b18c859f9a36c9,0.460075
0xe835772fb62f5e4ffbcef8ca4d2dc9fc9d50edda,0.457612
0x80ea8894b72717fb9829d6e7c3beeddc9e981755,0.457455
0x4ae50051b8dc10d8501041e2eea93341db29b52c,0.456115
0x157962e0069dff269b22e012bf8c3dbe4cafd83c,0.454800
0x5a1682bfc1fb0548accdeff735625e08a2151bc6,0.453851
0x60eb54ebcbcf83d91a2d6fec75fd2b0ae8727dc9,0.449110
0xeb79e48ffb8f51fbeea83ae94a38b935555e317b,0.448758
0x2b77dd75ea74db10e81c335e02c0a4e6777dc750,0.445598
0x14a76019bd042342ad8ef586d8ddc51675572897,0.445595
0xeb7ab619940fcaf58ddd2efbd475e63779be7d13,0.445594
0x059e4998e51b24cf0b4463ae29fe763633670437,0.441662
0xbad50955f8d8bdf1f425640db631738697aa732c,0.441237
0x05791640dbe10cdaf3827a93e4b43a905329aab3,0.441041
0x6772baa3f01e33b6e043aa6c85f1f5ee76182126,0.441040
0x27fae9d8f186651a0e6fe084cd4feaaf2533d9f1,0.439100
0xc5fdc5ba94167e17501d0328fe5dc320d9615e65,0.436957
0xae0158b43663a4ab001d562004f5d9490584f8d5,0.436630
0xe398ca52250a118e3f3d944f9ef4a769324b0757,0.436131
0xfffff9b1c2c387b1e3d19af292d91d913374f42b,0.428149
0xae6b10bd40d92c00a0a7582d055d687f1ce47edf,0.425946
0x00876951f3c5f40344046972490423fc11c6096c,0.423649
0xa35709ffa7d247cd5f36466b632b66d909d81beb,0.422075
0x7697c2958cb36975e7249a9059fbeba5fd62cee8,0.421071
0x88d0b1b3ad75fe4f03fa30f8647653bb89c086d3,0.412996
0x2f6c780b5623b98df5a551ed6324d89ab20b0f39,0.412596
0x233876a73a19650a72eaa9557a1d590f731fba12,0.411834
0x37bf493db74198de2c9cc835cfb094c984357f8f,0.401677
0xfaf0d4c32cab3abb8c01419597463c02f613e324,0.400477
0x7b3d4bbae2e0cde8f88a4cb3ca70bf294097ac65,0.396936
0x49ce84e37b2fc589b1a8819b811fe4a17b5eac41,0.389680
